id,Edicion,Id_Propuesta,Titulo,id_distrito,nombre_distrito,Numero_Apoyos,Seleccionada,cluster_id,tema,tema_id,Seleccionada_bool
1360,3,1153,CONVERTIR L'AVINGUDA DEL PORT EN UNA RAMBLA PEATONAL ( DES DE  AV.SERRERIA ),0,Toda la ciudad,11,NO,11,Litoral y puerto,18,False
1383,3,1176,NUEVO CENTRO SALUD MALILLA,0,Toda la ciudad,208,NO,18,Centros de salud,9,False
1405,3,1198,COMISARIA EN BENIMAMET,0,Toda la ciudad,203,NO,15,Seguridad ciudadana,35,False
1409,3,1202,RESIDENCIA Y CENTRO DE DiA PARA PERSONAS DEPENDIENTES,0,Toda la ciudad,30,NO,38,Paneles informativos,21,False
1431,3,1224,CREAR UNA LiNEA DE AUTOBuS QUE COMUNIQUE AMISTAD CON LA CIUDAD DE LAS CIENCIAS.,0,Toda la ciudad,7,NO,39,Centros cívicos y huertos urbanos,8,False
1443,3,1236,"LIMPIEZA DE ALCANTARILLADO, PLAYAS, PARQUES Y OTROS.",0,Toda la ciudad,2,NO,13,Río Turia y litoral,34,False
1572,3,1368,"ADAPTAR PARADAS AUTOBuS EMT A PERSONAS MAYORES, CON SILLA DE RUEDAS, MULETAS...",0,Toda la ciudad,23,NO,-1,Sin clasificar,36,False
1630,3,1426,PISCINA DESCUBIERTA PARA BENIMAMET,0,Toda la ciudad,5,NO,5,Instalaciones deportivas,16,False
1634,3,1430,"QUE LOS AUTOBUSES DE LA EMT ENTREN EN EL RECINTO DE ""LA FE"" MALILLA",0,Toda la ciudad,12,NO,8,Transporte público (EMT),38,False
1656,3,1452,SOTERRAMIENTO DE LAS ViAS DEL TREN DEL FINAL DE LA AV FRANCIA,0,Toda la ciudad,4,NO,-1,Sin clasificar,36,False
1665,3,1461,LA MANZANA PERDIDA DE RUZAFA- REMODELACION,0,Toda la ciudad,6,NO,-1,Sin clasificar,36,False
1723,3,1519,AMPLIACIoN DE PEQUEÑA ZONA VERDE  EN TORREFIEL,0,Toda la ciudad,1,NO,25,Zonas verdes,39,False
1740,3,1536,"HABILITAR ZONAS PROTEGIDAS PARA GATOS (ESCONDITES DE OBRA, CASAS DE MADERA)",0,Toda la ciudad,3,NO,2,Bienestar animal,6,False
1757,3,1553,CUBRIR PISCINA DEL PARQUE OESTE CON CUBIERTA  MoVIL QUE PERMITA USO TODO EL AÑO,0,Toda la ciudad,3,NO,5,Instalaciones deportivas,16,False
1764,3,1560,RENOVAR EL PARC DEL CARRER EIVISSA,0,Toda la ciudad,7,NO,34,Parques y plazas,23,False
1816,4,2045,RE-ASFALTAT DE L'ACCeS DE VIVERS PEL CARRER GENERAL ELIO.,6,el Pla del Real,4,NO,-1,Sin clasificar,36,False
1875,4,2104,PISCINA EN LA ZONA MALVARROSA,11,Poblats Marítims,39,NO,5,Instalaciones deportivas,16,False
1893,4,2122,CONSTRUCCIoN  DE UN PARQUE EN LAS INMEDIACIONES DEL COLEGIO 103,12,Camins al Grau,0,NO,33,Parques infantiles,22,False
1908,4,2137,SEÑALIZACIoN CARRER D'EIVISSA Y CREACION BICI CARRIL CON AV. DE LES BALEARS,12,Camins al Grau,4,NO,11,Litoral y puerto,18,False
2001,4,2230,ARBOLADA Y CICLOCALLE EN LA CALLE CASTELLoN,2,l'Eixample,22,NO,42,Aceras y movilidad peatonal,2,False
2041,4,2270,ILUMINACIoN,17,Pobles del Nord,10,NO,7,Iluminación pública,15,False
2056,4,2285,HABILITAR DOS ESPACIOS ABANDONADOS EN CALLE CULLERA(EXTREMO FERIA VALENCIA).,18,Pobles de l'Oest,3,NO,-1,Sin clasificar,36,False
2075,4,2304,PISTA MULTIDEPORTE Y MESAS DE PING-PONG EN EL PARQUE LINEAL DE BENIMAMET,18,Pobles de l'Oest,69,SI,28,Mobiliario urbano deportivo,19,True
2089,4,2318,INICIATIVES SOLIDaRIES,20,No consta,0,NO,38,Paneles informativos,21,False
2139,4,2368,AL CORQUES Y BANCOS EN FON SANTA Y NOU MOLES,7,l'Olivereta,0,SI,47,Convivencia y mobiliario urbano,11,True
2149,4,2378,PARC DE LES IL·LUCIONS,15,Rascanya,0,NO,-1,Sin clasificar,36,False
2150,4,2379,ALIVIAR EL CALOR DEL PAVIMENTO EN LA ALAMEDA MEDIANTE UN CANAL DE AGUA,6,el Pla del Real,32,NO,12,Fuentes y aseos públicos,14,False
2161,4,2390,ARREGLAR LA TANCA DEL CAMP D'ESPORTS  JUNTO ESCOLETA MUNICIPAL MASSARROJOS,17,Pobles del Nord,8,NO,-1,Sin clasificar,36,False
2171,4,2400,MATERIAL: ESCENARIO,19,Pobles del Sud,20,SI,46,Pipicanes y zonas caninas,25,True
2192,4,2421,BIBLIOTECA MUNICIPAL,19,Pobles del Sud,32,NO,4,Bibliotecas y ludotecas,5,False
2213,4,2442,NI UN COLUMPIO EN EL ENSANCHE. PONGAMOS UNO AL MENOS.,2,l'Eixample,71,NO,46,Pipicanes y zonas caninas,25,False
2231,4,2460,RUTA POR EL PATRIMONIO INDUSTRIAL DEL GRAU,11,Poblats Marítims,47,SI,-1,Sin clasificar,36,True
2254,4,2483,HOSPITAL VETERINARIO PUBLICO GRATUITO Y DE CALIDAD,10,Quatre Carreres,110,NO,0,Pipicanes y zonas caninas,25,False
2275,4,2504,REMODELACIoN Y MEJORAS PARQUE PLAZA PEDAGOGA RAQUEL PAYa,10,Quatre Carreres,21,NO,34,Parques y plazas,23,False
2277,4,2506,MEJORA DE LOS ACCESOS A LOS DOS COLEGIOS DE PLA DEL REMEI,2,l'Eixample,0,NO,29,Centros educativos,10,False
2326,5,3014,UNITATS COMPOSTADORES EN HORTS URBANS I ALTRES ESPAIS LLIURES,0,Toda la ciudad,133,NO,-1,Sin clasificar,36,False
2356,5,3044,REHABILITACIoN ALQUERiA ALBORS (ORRIOLS),0,Toda la ciudad,47,NO,19,Rehabilitación del patrimonio,31,False
2370,5,3058,Cruce Jaquin Ballester Padre Ferris,0,Toda la ciudad,7,NO,47,Convivencia y mobiliario urbano,11,False
2454,5,3142,Colocacion de paneles acusticos en la salida del metro del Empalme,0,Toda la ciudad,23,NO,23,Reducción del ruido,29,False
2480,5,3168,AMPLIACIoN ZONA INFANTIL EN C/ FONTANARES,0,Toda la ciudad,130,NO,33,Parques infantiles,22,False
2505,5,3193,Peatonalizar Calle Maria Auxiliadora del numero 1 al 19,0,Toda la ciudad,5,NO,-1,Sin clasificar,36,False
2532,5,3220,Construccion de una casa de la cultura en El Barrio San Isidro,0,Toda la ciudad,31,NO,36,Equipamientos culturales,12,False
2555,5,3243,"1a fase del parc del carrer Ador, a Castellar-l´Oliveral",0,Toda la ciudad,107,NO,30,Pedanías y barrios periféricos,24,False
2570,5,3258,Ejecucion Inmediata de la Ampliacion del Parque de Benicalap y Paneles Acusticos,0,Toda la ciudad,111,NO,23,Reducción del ruido,29,False
2580,5,3268,RUTA BOTaNICA POR EL PARQUE DE LA RAMBLETA,0,Toda la ciudad,30,NO,31,Jardines y arbolado,17,False
2630,5,3318,TRAMO II DEL JARDiN DEL TURIA -ZONA DE SOCIALIZACIoN PARA PERROS,0,Toda la ciudad,12,NO,0,Pipicanes y zonas caninas,25,False
2633,5,3321,Fuente avenida marconi,0,Toda la ciudad,3,NO,-1,Sin clasificar,36,False
2651,5,3339,Manteniment de les sequies del Palmar,0,Toda la ciudad,116,NO,-1,Sin clasificar,36,False
2672,5,3360,Reacondicionamiento carril bici Juan Llorens - Bon ordre,0,Toda la ciudad,5,NO,1,Carriles bici y movilidad ciclista,7,False
2687,5,3375,ACONDICIONAMENT DEL SoL A L'ENTORN DEL PARC INFANTIL FRONT A LA BENEFICIeNCIA,0,Toda la ciudad,116,NO,3,Solares y suelo disponible,37,False
2740,5,3428,CAMPO DE FUTBOL 11 EN BENIMAMET,0,Toda la ciudad,42,NO,21,Instalaciones deportivas,16,False
2750,5,3438,Badenes velocidad en calle parroco Miguel tarin,0,Toda la ciudad,1,NO,24,Reducción de velocidad y zonas 30,28,False
2764,5,3452,Rehabilitacion y adecuacion de la pasarela y edificio de La Casa del Agua.,0,Toda la ciudad,25,NO,19,Rehabilitación del patrimonio,31,False
2803,5,3491,Calle hermanos Rivas,0,Toda la ciudad,1,NO,42,Aceras y movilidad peatonal,2,False
2808,5,3496,Poner bajo tierra los contenedores de ZONA AVDA FUENTE SAN LUIS Y MALILLA,0,Toda la ciudad,55,NO,48,Recogida de residuos,27,False
2836,5,3524,Rails a les escales del riu per pujar/baixar bicicletes i patinets,0,Toda la ciudad,5,NO,1,Carriles bici y movilidad ciclista,7,False
2876,5,3565,Instalar Ascensor en el aparcamiento de Concesion Municipal Regne de Valencia.,0,Toda la ciudad,4,NO,9,Aparcamiento para vehículos,3,False
2911,5,3600,Hochey hierba,0,Toda la ciudad,147,NO,46,Pipicanes y zonas caninas,25,False
2925,5,3614,Nou moles fuensanta,0,Toda la ciudad,9,NO,47,Convivencia y mobiliario urbano,11,False
2932,5,3621,PON LA PLAZA DE PATRAIX BONITA,0,Toda la ciudad,29,NO,37,Parques y plazas,23,False
2991,6,4047,COLEGIO CERVANTES AMPLIACIoN ACERAS EN CALLES PERE BONFIL Y PADRE MANJoN,3,Extramurs,93,NO,41,Reurbanización de calles,33,False
3046,6,4102,Colocacion bancos en Pintor Joan de Ribera Berenguer,10,Quatre Carreres,19,NO,16,Pedanías y barrios periféricos,24,False
3071,6,4127,PLAN DE VERTEBRACIoN CILCISTA LA SAiDIA: SANT ANTONI - MORVEDRE,5,la Saïdia,122,NO,18,Centros de salud,9,False
3076,6,4132,CARRIL BICI AVENIDA JACINTO BENAVENTE - EVITAR CHOQUES SALIDAS RiO,2,l'Eixample,40,NO,1,Carriles bici y movilidad ciclista,7,False
3097,6,4153,CONEXIoN SEGURA PARA PEATONES CON VALENCIA POR EL CAMINO VIEJO DE PATERNA,18,Pobles de l'Oest,85,NO,-1,Sin clasificar,36,False
3125,6,4181,Parque socializacion canina Benimaclet Norte,14,Benimaclet,30,NO,0,Pipicanes y zonas caninas,25,False
3133,6,4189,SUSTITUCION MURO JARDIN DE AYORA,12,Camins al Grau,49,NO,31,Jardines y arbolado,17,False
3137,6,4193,Crear plazas de aparcamiento,15,Rascanya,55,NO,9,Aparcamiento para vehículos,3,False
3145,6,4201,ACCESO A CALLE JUAN RAMON JIMENEZ DESDE JOAQUIN BENCLLOCH (ACCESO GARAJES),10,Quatre Carreres,19,NO,-1,Sin clasificar,36,False
3197,6,4253,Nueva señal de trafico,8,Patraix,17,NO,42,Aceras y movilidad peatonal,2,False
3234,6,4290,Dar utilidad a los solares abandonados y reducir las plagas,1,Ciutat Vella,75,NO,3,Solares y suelo disponible,37,False
3236,6,4292,PARC DE CONNEXIo CAPÇALERA-RIU NOU,4,Campanar,76,NO,34,Parques y plazas,23,False
3331,6,4387,Asfalto fonoabsorbente en las calzadas con varios carriles,12,Camins al Grau,31,NO,35,Asfalto y pavimentación,4,False
3334,6,4390,CUEVAS DE BENIMAMET: LOS 5 BARRIOS SEÑALIZADOS,18,Pobles de l'Oest,6,NO,-1,Sin clasificar,36,False
3356,6,4412,WC en la Pinada del Saler zona lago y mirador de la Albufera,19,Pobles del Sud,18,NO,13,Río Turia y litoral,34,False
3386,6,4442,Parc en platja d'aparcament entre Avingudes Blasco Ibañez i Serradora,11,Poblats Marítims,36,NO,-1,Sin clasificar,36,False
3407,6,4463,Canchas de basket en Malilla,10,Quatre Carreres,63,SI,-1,Sin clasificar,36,True
3435,6,4491,Reurbanitzacio Avinguda Jesus Morante Borras,10,Quatre Carreres,10,NO,40,Pedanías y barrios periféricos,24,False
3445,6,4501,Alumbrado modernista y eficiente en el pueblo,18,Pobles de l'Oest,7,NO,-1,Sin clasificar,36,False
3571,6,4628,Alumbrado parque,19,Pobles del Sud,19,SI,34,Parques y plazas,23,True
3617,6,4674,Mejorar el entorno de la Plaza del Patriarca - Palacio Marques de Dos Aguas,1,Ciutat Vella,5,NO,40,Pedanías y barrios periféricos,24,False
3778,6,4838,APARCABICIS SEGUROS PARA LA MOVILIDAD SOSTENIBLE EN EL MARITIMO,11,Poblats Marítims,31,NO,-1,Sin clasificar,36,False
3785,6,4845,Iluminacion de la Calle Diogenes Lopez Mecho,14,Benimaclet,30,NO,7,Iluminación pública,15,False
3791,6,4851,Acondicionar el carrer Castello de l´Albufera,19,Pobles del Sud,55,NO,-1,Sin clasificar,36,False
3801,6,4861,Acondicionar el carrer Figuereta,19,Pobles del Sud,55,NO,42,Aceras y movilidad peatonal,2,False
3820,6,4881,Restauracion de la zona recreativa y deportiva del chaparral,7,l'Olivereta,30,NO,27,Instalaciones deportivas,16,False
3823,6,4884,Aparcamiento coches,17,Pobles del Nord,5,NO,9,Aparcamiento para vehículos,3,False
3828,6,4889,Instalar farolas en calle Micer Masco,6,el Pla del Real,39,SI,42,Aceras y movilidad peatonal,2,True
3874,6,4936,Mesas de Pimpon para la nueva plaza del Pintor Segrelles,3,Extramurs,10,NO,16,Pedanías y barrios periféricos,24,False
3879,6,4941,Creacion de una Zona de Bajas Emisiones en Ciutat Vella,1,Ciutat Vella,68,NO,39,Centros cívicos y huertos urbanos,8,False
3892,6,4954,Piscina coberta al Poliesportiu de Benimaclet,14,Benimaclet,76,NO,5,Instalaciones deportivas,16,False
3901,6,4963,Vallar zona ajardinada,9,Jesús,6,NO,13,Río Turia y litoral,34,False
3910,6,4972,Medidas correctoras estacionamiento vehiculos en zona peatonal Av Francia13-15,12,Camins al Grau,33,NO,9,Aparcamiento para vehículos,3,False
3936,6,4998,ARREGLAR la calle SANTA CRUZ DE TENERIFE: Carril bici + Mediana + Semaforo/Paso,7,l'Olivereta,35,NO,1,Carriles bici y movilidad ciclista,7,False
3953,6,5015,CENTRO MUNICIPAL DE JUVENTUD CIUTAT VELLA,1,Ciutat Vella,10,NO,39,Centros cívicos y huertos urbanos,8,False
3972,6,5034,"Recuperar aceras para los peatones en c/ Doctor Oloriz,12 al 18 (altura FEVEC)",5,la Saïdia,9,NO,18,Centros de salud,9,False
4005,6,5067,Valla para impedir el atajo al cruzar paso de peatones,12,Camins al Grau,2,NO,-1,Sin clasificar,36,False
4035,6,5097,Ejecucion del proyecto de ajardinamiento de la plaza de Siete Aguas,12,Camins al Grau,0,NO,13,Río Turia y litoral,34,False
4111,6,5173,Cambio de alumbrado en San Isidro,8,Patraix,4,NO,-1,Sin clasificar,36,False
4131,6,5193,"Avenida Constitucion norte, mas pasos de cebra y pacificacion del transito",17,Pobles del Nord,4,NO,43,Pacificación del tráfico,20,False
4161,6,5223,EMBELLECIMIENTO DEL NuCLEO HISToRICO DE EL PALMAR,19,Pobles del Sud,0,NO,47,Convivencia y mobiliario urbano,11,False
4176,6,5238,Peatonalizar la calle Peris Brell,12,Camins al Grau,2,NO,42,Aceras y movilidad peatonal,2,False
4196,6,5258,CENTRO DE ATENCIoN SOCIAL,2,l'Eixample,6,NO,38,Paneles informativos,21,False
4198,6,5260,Pavimentar de azulejo valenciano un camino de viveros,6,el Pla del Real,1,NO,-1,Sin clasificar,36,False
4228,6,5290,Condicionament de l'asfaltat de la plaça Sant Benet i adjacents/ Acondicionamiento del asfaltado de la plaza San Benet y adyacentes.,17,Pobles del Nord,0,SI,37,Parques y plazas,23,True
4244,7,5306,Incrementar la limpieza de aceras del barrio de Benimaclet,14,Benimaclet,43,NO,-1,Sin clasificar,36,False
4292,7,5354,POR UNA CIUTAT VELLA BIEN CUIDADA Y AGRADABLE,1,Ciutat Vella,17,NO,39,Centros cívicos y huertos urbanos,8,False
4335,7,5397,MEJORA DE LA PLAZA DE LES PENYETES,18,Pobles de l'Oest,7,NO,37,Parques y plazas,23,False
4409,7,5471,Lavabos publicos,4,Campanar,21,NO,12,Fuentes y aseos públicos,14,False
4435,7,5497,AMPLIACION CENTRO MUNICIPAL MAYORES SAN ISIDRO,8,Patraix,0,NO,45,Pedanías y barrios periféricos,24,False
4472,7,5534,Rebajar cota carril bici entre carrer Carcaixent y Cuenca,9,Jesús,3,NO,1,Carriles bici y movilidad ciclista,7,False
4479,7,5541,Pergola en Sociopolis,19,Pobles del Sud,15,NO,41,Reurbanización de calles,33,False
4514,7,5576,"Carrer de Pelai: ""El Passeig de la Pilota Valenciana""",3,Extramurs,59,NO,-1,Sin clasificar,36,False
4628,7,5690,Doble fila y peatonalizacion entorno Mestalla,13,Algirós,4,NO,39,Centros cívicos y huertos urbanos,8,False
4630,7,5692,Continuar zona ajardinada en descampado de Jose Andreu Alabarta,8,Patraix,32,NO,-1,Sin clasificar,36,False
4662,7,5724,Finalitzar urbanitzacio de Fra Juniper Serra,8,Patraix,7,NO,39,Centros cívicos y huertos urbanos,8,False
4696,7,5758,Poner mas juegos en Plaza Sor Guillermina,10,Quatre Carreres,11,NO,28,Mobiliario urbano deportivo,19,False
4703,7,5765,Renovacion del alumbrado en el tramo final de la Calle Santos Justo y Pastor,13,Algirós,17,NO,40,Pedanías y barrios periféricos,24,False
4746,7,5808,Arboles o maceteros en Cura Femenia,2,l'Eixample,6,NO,2,Bienestar animal,6,False
4747,7,5809,Paso de peatones cruce Platero Suarez y Ministro Luis Mayans,5,la Saïdia,34,NO,-1,Sin clasificar,36,False
4755,7,5817,Parque junto campos de futbol de Avda militar Amado granell mesado,10,Quatre Carreres,55,NO,21,Instalaciones deportivas,16,False
4775,7,5837,Soterrar contenedores Avda. Primero de Mayo,9,Jesús,7,NO,48,Recogida de residuos,27,False
4784,7,5846,Urbanizar tramo calle Pintor Stolz: ensanchar aceras y plantar arboles,7,l'Olivereta,26,NO,16,Pedanías y barrios periféricos,24,False
4794,7,5856,Parque Infantil en la Plaza De San Pedro Poveda 46014,8,Patraix,4,NO,33,Parques infantiles,22,False
4820,7,5882,AMPLIACION ACERA CALLE GENERAL GIL DOLZ,6,el Pla del Real,43,NO,42,Aceras y movilidad peatonal,2,False
4835,7,5897,Residus i Control Contaminacio acustica,6,el Pla del Real,16,NO,23,Reducción del ruido,29,False
4842,7,5904,INSTALAR ARBOLADO EN CONDE DE LUMIARES,15,Rascanya,4,NO,-1,Sin clasificar,36,False
4850,7,5912,Parking C/ciutat de Mislata,7,l'Olivereta,42,NO,9,Aparcamiento para vehículos,3,False
4870,7,5932,Falta de iluminacion,5,la Saïdia,35,SI,7,Iluminación pública,15,True
4907,7,5969,Huerto Urbano,1,Ciutat Vella,24,NO,39,Centros cívicos y huertos urbanos,8,False
4925,7,5987,Polideportivo solar Calle Lebon-Tomas de Montañana,12,Camins al Grau,36,SI,3,Solares y suelo disponible,37,True
4938,7,6000,Reapertura parcial/total de la circulacion de la c/ Torrente,8,Patraix,4,NO,44,Repavimentación de calzadas,32,False
4957,7,6019,REFORMA PARQUE VALTURIA EN BARRIO CAMI REAL,9,Jesús,34,NO,34,Parques y plazas,23,False
4964,7,6026,App per a trobar estacionament al barri del Botanic,3,Extramurs,5,NO,31,Jardines y arbolado,17,False
5016,7,6078,Millorar les zones verdes entre Germans Maristes i angel Villena,10,Quatre Carreres,20,NO,11,Litoral y puerto,18,False
5051,7,6113,Eliminacion Ruido Producido por Rejillas ventilacion meteo en calzada,14,Benimaclet,14,NO,23,Reducción del ruido,29,False
5094,7,6156,ABRIR AL TRaFICO VICENTE ZARAGOZA  DE ROTONDA DEL MIRADOR A DIoGENES LOPEZ MENCH,14,Benimaclet,90,NO,14,Pacificación del tráfico,20,False
5103,7,6165,Cambio de direccion calle Carcagente y Uruguay,9,Jesús,2,NO,41,Reurbanización de calles,33,False
5175,7,6237,Cambiar plazas parking ORA en Cirilo Amoros a plazas exclusivas para residentes,2,l'Eixample,14,NO,9,Aparcamiento para vehículos,3,False
5184,7,6246,ASFALTADO DE LOS ENTRADORES PEATONALES DEL PARQUE LINEAL QUE CRUZAN EL CARRIL BI,18,Pobles de l'Oest,9,NO,34,Parques y plazas,23,False
5212,7,6274,SOTERRAMENT DE TOTS ELS CONTENIDORS DE FEM,6,el Pla del Real,30,NO,48,Recogida de residuos,27,False
5263,7,6325,Goteras alqueria Carena y parte vallado.,16,Benicalap,0,NO,47,Convivencia y mobiliario urbano,11,False
5269,7,6331,Reforma del parque de la Plaza Raquel Paya - C/Fuente La Higuera,10,Quatre Carreres,9,NO,34,Parques y plazas,23,False
5293,7,6355,Control de excrementos caninos en caminos y vias de la huerta,17,Pobles del Nord,6,NO,0,Pipicanes y zonas caninas,25,False
5319,7,6381,REORDENACIoN DEL VIARIO EN LAS CALLES APARICIO ALBIÑANA Y MONESTIR DE POBLET,4,Campanar,30,SI,40,Pedanías y barrios periféricos,24,True
5345,7,6407,Avenida Gaspar Aguilar. Cambiar a sentido circulacion unico y carril bici.,9,Jesús,5,NO,1,Carriles bici y movilidad ciclista,7,False
5368,7,6430,Bolardos para poder transitar por la acera de Literato Gabriel Miro,3,Extramurs,32,NO,47,Convivencia y mobiliario urbano,11,False
5385,7,6447,Punts negres carril bici,11,Poblats Marítims,8,NO,1,Carriles bici y movilidad ciclista,7,False
5434,7,6496,Creacion de polideportivo municipal En Corts. Desmantelar CIE Sapadors,10,Quatre Carreres,30,NO,-1,Sin clasificar,36,False
5449,7,6511,PARQUE DE BARRAS-CALISTENIA EN EL PARC CENTRAL,2,l'Eixample,6,NO,34,Parques y plazas,23,False
5487,7,6549,Parking Torrefiel,15,Rascanya,35,NO,9,Aparcamiento para vehículos,3,False
5525,7,6587,AMPLIACIoN CEMENTERIO DE BENIMaMET,18,Pobles de l'Oest,0,NO,-1,Sin clasificar,36,False
5537,7,6599,Nuevo parque infantil junto a Plaza Actor Enrique Rambal,13,Algirós,31,NO,33,Parques infantiles,22,False
5555,7,6617,Asfalto Fonoabsorbente para Bulevar Sur,9,Jesús,4,NO,35,Asfalto y pavimentación,4,False
5612,7,6674,Sincronizacion semaforos Amado Granell Mesado,10,Quatre Carreres,15,NO,7,Iluminación pública,15,False
5614,7,6676,Eje saludable Parc Central - Jardi del Turia,2,l'Eixample,56,SI,34,Parques y plazas,23,True
5643,7,6705,"Calle Alta fin de semana para disfrute , calle peatonal",1,Ciutat Vella,32,NO,42,Aceras y movilidad peatonal,2,False
5657,7,6719,Peatonalizar callejon Historiadora Silvia Romeu,13,Algirós,31,NO,-1,Sin clasificar,36,False
5677,7,6739,"Rehabilitacion Barrio Virgen de los Desamparados Antella n.1, 2 y 3.",7,l'Olivereta,12,NO,19,Rehabilitación del patrimonio,31,False
5708,7,6770,Colocacion espejo (poca visibilidad) cruce Blasco Ibañez (Hospital Clinico),6,el Pla del Real,5,NO,7,Iluminación pública,15,False
5710,7,6772,MEJORA ACCESOS PEATONALES PUENTE SOBRE EL NUEVO CAUCE DEL TURIA JOSe SOTO MICo –,8,Patraix,10,NO,-1,Sin clasificar,36,False
5714,7,6776,Repavimentacion y pintado del carril bici de la entrada sur de El Saler.,19,Pobles del Sud,15,NO,1,Carriles bici y movilidad ciclista,7,False
5724,7,6786,Bulevar verde en el ultimo tramo del Paseo de la Alameda,12,Camins al Grau,10,NO,25,Zonas verdes,39,False
5733,7,6795,Zona de Chorros de Agua para niñ@s en Ciutat Vella,1,Ciutat Vella,35,NO,-1,Sin clasificar,36,False
